"sheep_ID","cow_ID","gene_name","gene_name2"
"ENSOARG00000001311","ENSBTAG00000011994","NDEL1","NDEL1"
"ENSOARG00000015864","ENSBTAG00000012007","SOCS2","SOCS2"
"ENSOARG00000001833","ENSBTAG00000012010","PANX1","PANX1"
"ENSOARG00000004694","ENSBTAG00000012012","CYB5A","CYB5A"
"ENSOARG00000000399","ENSBTAG00000012022","TBC1D2B","TBC1D2B"
"ENSOARG00000004674","ENSBTAG00000012024","SLC29A2","SLC29A2"
"ENSOARG00000019104","ENSBTAG00000012030","TTLL1","TTLL1"
"ENSOARG00000015270","ENSBTAG00000012038","TRIM56","TRIM56"
"ENSOARG00000010854","ENSBTAG00000012046","JUNB","JUNB"
"ENSOARG00000013480","ENSBTAG00000012047","JAK2","JAK2"
"ENSOARG00000003369","ENSBTAG00000012049","WIPI2","WIPI2"
"ENSOARG00000014445","ENSBTAG00000012050","ORAI2","ORAI2"
"ENSOARG00000013010","ENSBTAG00000012059","MVD","MVD"
"ENSOARG00000010081","ENSBTAG00000012060","LPIN2","LPIN2"
"ENSOARG00000010800","ENSBTAG00000012062","PRDX2","PRDX2"
"ENSOARG00000002803","ENSBTAG00000012063","E2F4","E2F4"
"ENSOARG00000013717","ENSBTAG00000012064","ZNF473","ZNF473"
"ENSOARG00000014906","ENSBTAG00000012069","CCDC167","CCDC167"
"ENSOARG00000013649","ENSBTAG00000012073","VOPP1","VOPP1"
"ENSOARG00000014901","ENSBTAG00000012074","MYB","MYB"
"ENSOARG00000015788","ENSBTAG00000012077","SLF2","SLF2"
"ENSOARG00000000747","ENSBTAG00000012082","TNFRSF12A","TNFRSF12A"
"ENSOARG00000007187","ENSBTAG00000012096","BCKDHB","BCKDHB"
"ENSOARG00000010349","ENSBTAG00000012101","SYMPK","SYMPK"
"ENSOARG00000012526","ENSBTAG00000012107","SLC25A28","SLC25A28"
"ENSOARG00000002923","ENSBTAG00000012120","TIPARP","TIPARP"
"ENSOARG00000007251","ENSBTAG00000012124","GPBP1","GPBP1"
"ENSOARG00000011212","ENSBTAG00000012141","RAD9A","RAD9A"
"ENSOARG00000007445","ENSBTAG00000012142","RAD18","RAD18"
"ENSOARG00000000668","ENSBTAG00000012147","ARRDC1","ARRDC1"
"ENSOARG00000003577","ENSBTAG00000012159","CNBP","CNBP"
"ENSOARG00000017041","ENSBTAG00000012163","ITGB1BP2","ITGB1BP2"
"ENSOARG00000012306","ENSBTAG00000012169","FAM118B","FAM118B"
"ENSOARG00000011373","ENSBTAG00000012172","MIDN","MIDN"
"ENSOARG00000010211","ENSBTAG00000012176","QPCTL","QPCTL"
"ENSOARG00000013027","ENSBTAG00000012178","NR1D1","NR1D1"
"ENSOARG00000009988","ENSBTAG00000012200","ANKRD13D","ANKRD13D"
"ENSOARG00000013410","ENSBTAG00000012205","CPT1C","CPT1C"
"ENSOARG00000009717","ENSBTAG00000012211","HOXA5","HOXA5"
"ENSOARG00000000460","ENSBTAG00000012213","WAPL","WAPL"
"ENSOARG00000006166","ENSBTAG00000012216","MLKL","MLKL"
"ENSOARG00000016204","ENSBTAG00000012237","AEBP1","AEBP1"
"ENSOARG00000016111","ENSBTAG00000012241","POLD2","POLD2"
"ENSOARG00000018884","ENSBTAG00000012244","TUBA1B","TUBA1B"
"ENSOARG00000019591","ENSBTAG00000012253","AGO1","AGO1"
"ENSOARG00000008752","ENSBTAG00000012265","VWF","VWF"
"ENSOARG00000014625","ENSBTAG00000012272","TMEM19","TMEM19"
"ENSOARG00000010311","ENSBTAG00000012274","CIZ1","CIZ1"
"ENSOARG00000012365","ENSBTAG00000012322","INKA1","INKA1"
"ENSOARG00000003782","ENSBTAG00000012330","B2M","B2M"
"ENSOARG00000011997","ENSBTAG00000012335","UBA7","UBA7"
"ENSOARG00000016064","ENSBTAG00000012343","TSPAN5","TSPAN5"
"ENSOARG00000006577","ENSBTAG00000012348","LRRC71","LRRC71"
"ENSOARG00000014137","ENSBTAG00000012350","MAT2B","MAT2B"
"ENSOARG00000000941","ENSBTAG00000012355","RNF220","RNF220"
"ENSOARG00000018551","ENSBTAG00000012365","ANP32A","ANP32A"
"ENSOARG00000010615","ENSBTAG00000012371","CPD","CPD"
"ENSOARG00000014323","ENSBTAG00000012377","ECHDC3","ECHDC3"
"ENSOARG00000005491","ENSBTAG00000012380","HK1","HK1"
"ENSOARG00000009506","ENSBTAG00000012383","CHMP5","CHMP5"
"ENSOARG00000009478","ENSBTAG00000012385","NFX1","NFX1"
"ENSOARG00000012101","ENSBTAG00000012397","DCK","DCK"
"ENSOARG00000017418","ENSBTAG00000012406","ZBP1","ZBP1"
"ENSOARG00000013679","ENSBTAG00000012412","URB1","URB1"
"ENSOARG00000000965","ENSBTAG00000012416","ZNF511","ZNF511"
"ENSOARG00000015515","ENSBTAG00000012417","ARL14EP","ARL14EP"
"ENSOARG00000019311","ENSBTAG00000012423","SENP1","SENP1"
"ENSOARG00000015250","ENSBTAG00000012432","FDFT1","FDFT1"
"ENSOARG00000003809","ENSBTAG00000012441","SMAD7","SMAD7"
"ENSOARG00000002302","ENSBTAG00000012450","RAPGEF2","RAPGEF2"
"ENSOARG00000007065","ENSBTAG00000012462","MAP1LC3C","MAP1LC3C"
"ENSOARG00000020713","ENSBTAG00000012463","ZMAT3","ZMAT3"
"ENSOARG00000011947","ENSBTAG00000012464","AFAP1","AFAP1"
"ENSOARG00000000758","ENSBTAG00000012470","SNAPIN","SNAPIN"
"ENSOARG00000000787","ENSBTAG00000012471","ILF2","ILF2"
"ENSOARG00000009369","ENSBTAG00000012484","ENDOG","ENDOG"
"ENSOARG00000009282","ENSBTAG00000012485","SPOUT1","SPOUT1"
"ENSOARG00000020718","ENSBTAG00000012495","SF3B4","SF3B4"
"ENSOARG00000020733","ENSBTAG00000012496","MTMR11","MTMR11"
"ENSOARG00000000666","ENSBTAG00000012497","KHDRBS1","KHDRBS1"
"ENSOARG00000006281","ENSBTAG00000012511","BAD","BAD"
"ENSOARG00000003595","ENSBTAG00000012545","CASC4","CASC4"
"ENSOARG00000009673","ENSBTAG00000012552","FMR1","FMR1"
"ENSOARG00000019430","ENSBTAG00000012555","RBM15","RBM15"
"ENSOARG00000011438","ENSBTAG00000012564","KANSL1","KANSL1"
"ENSOARG00000012333","ENSBTAG00000012582","IARS2","IARS2"
"ENSOARG00000015476","ENSBTAG00000012586","HSPD1","HSPD1"
"ENSOARG00000017396","ENSBTAG00000012587","BABAM1","BABAM1"
"ENSOARG00000017289","ENSBTAG00000012592","ANKLE1","ANKLE1"
"ENSOARG00000012707","ENSBTAG00000012594","MRPS6","MRPS6"
"ENSOARG00000020414","ENSBTAG00000012609","SCO2","SCO2"
"ENSOARG00000019867","ENSBTAG00000012620","RETREG2","RETREG2"
"ENSOARG00000013147","ENSBTAG00000012622","TRA2A","TRA2A"
"ENSOARG00000020846","ENSBTAG00000012629","ZNF362","ZNF362"
"ENSOARG00000001472","ENSBTAG00000012644","UROD","UROD"
"ENSOARG00000019466","ENSBTAG00000012659","LRIF1","LRIF1"
"ENSOARG00000008177","ENSBTAG00000012664","NDST2","NDST2"
"ENSOARG00000008337","ENSBTAG00000012667","CAMK2G","CAMK2G"
"ENSOARG00000008016","ENSBTAG00000012671","TNIP1","TNIP1"
"ENSOARG00000004106","ENSBTAG00000012674","CNKSR3","CNKSR3"
"ENSOARG00000018135","ENSBTAG00000012675","MYO19","MYO19"
"ENSOARG00000016092","ENSBTAG00000012678","COLGALT1","COLGALT1"
"ENSOARG00000012086","ENSBTAG00000012700","CD247","CD247"
"ENSOARG00000010436","ENSBTAG00000012704","MMS19","MMS19"
"ENSOARG00000010881","ENSBTAG00000012720","ANKRD2","ANKRD2"
"ENSOARG00000019387","ENSBTAG00000012724","AJUBA","AJUBA"
"ENSOARG00000004749","ENSBTAG00000012729","ARHGEF9","ARHGEF9"
"ENSOARG00000020905","ENSBTAG00000012740","PIGB","PIGB"
"ENSOARG00000014981","ENSBTAG00000012745","PPAN","PPAN"
"ENSOARG00000004248","ENSBTAG00000012747","FAM3A","FAM3A"
"ENSOARG00000005094","ENSBTAG00000012749","CUL7","CUL7"
"ENSOARG00000011826","ENSBTAG00000012756","CCT7","CCT7"
"ENSOARG00000008374","ENSBTAG00000012757","GCNT1","GCNT1"
"ENSOARG00000005665","ENSBTAG00000012761","PTK7","PTK7"
"ENSOARG00000006250","ENSBTAG00000012768","HMGXB3","HMGXB3"
"ENSOARG00000005757","ENSBTAG00000012777","SRF","SRF"
"ENSOARG00000015629","ENSBTAG00000012781","TP53BP2","TP53BP2"
"ENSOARG00000017836","ENSBTAG00000012787","SDE2","SDE2"
"ENSOARG00000012315","ENSBTAG00000012790","TRIAP1","TRIAP1"
"ENSOARG00000016050","ENSBTAG00000012804","REEP5","REEP5"
"ENSOARG00000008934","ENSBTAG00000012805","TSPAN13","TSPAN13"
"ENSOARG00000010523","ENSBTAG00000012817","JAG1","JAG1"
"ENSOARG00000014663","ENSBTAG00000012828","TBC1D15","TBC1D15"
"ENSOARG00000010339","ENSBTAG00000012830","YJU2","YJU2"
"ENSOARG00000016088","ENSBTAG00000012833","ATG2B","ATG2B"
"ENSOARG00000011992","ENSBTAG00000012844","LRSAM1","LRSAM1"
"ENSOARG00000002429","ENSBTAG00000012845","SDF2","SDF2"
"ENSOARG00000015491","ENSBTAG00000012861","KIF4A","KIF4A"
"ENSOARG00000010875","ENSBTAG00000012882","CUL5","CUL5"
"ENSOARG00000011112","ENSBTAG00000012885","ACAT1","ACAT1"
"ENSOARG00000007805","ENSBTAG00000012902","ARL8B","ARL8B"
"ENSOARG00000016250","ENSBTAG00000012908","HSPA13","HSPA13"
"ENSOARG00000001159","ENSBTAG00000012919","MMP15","MMP15"
"ENSOARG00000008012","ENSBTAG00000012922","PHF2","PHF2"
"ENSOARG00000013647","ENSBTAG00000012937","ACAD8","ACAD8"
"ENSOARG00000012666","ENSBTAG00000012938","JARID2","JARID2"
"ENSOARG00000010253","ENSBTAG00000012940","TMEM25","TMEM25"
"ENSOARG00000006396","ENSBTAG00000012944","USP35","USP35"
"ENSOARG00000008274","ENSBTAG00000012946","HSF2","HSF2"
"ENSOARG00000008728","ENSBTAG00000012961","PAPSS1","PAPSS1"
"ENSOARG00000019108","ENSBTAG00000012962","SARS","SARS"
"ENSOARG00000011383","ENSBTAG00000012976","WLS","WLS"
"ENSOARG00000005035","ENSBTAG00000012985","FCSK","FCSK"
"ENSOARG00000009969","ENSBTAG00000012989","UBE2L6","UBE2L6"
"ENSOARG00000013316","ENSBTAG00000012990","PUS1","PUS1"
"ENSOARG00000012484","ENSBTAG00000012991","PRUNE2","PRUNE2"
"ENSOARG00000012630","ENSBTAG00000012992","CDH6","CDH6"
"ENSOARG00000018441","ENSBTAG00000013007","FAM210B","FAM210B"
"ENSOARG00000019266","ENSBTAG00000013018","AMPD2","AMPD2"
"ENSOARG00000013190","ENSBTAG00000013023","MAP4K4","MAP4K4"
"ENSOARG00000009140","ENSBTAG00000013030","LRRC8A","LRRC8A"
"ENSOARG00000015907","ENSBTAG00000013036","YDJC","YDJC"
"ENSOARG00000003047","ENSBTAG00000013045","DKC1","DKC1"
"ENSOARG00000003150","ENSBTAG00000013046","MPP1","MPP1"
"ENSOARG00000020169","ENSBTAG00000013054","MFSD2A","MFSD2A"
"ENSOARG00000018775","ENSBTAG00000013057","CBLB","CBLB"
"ENSOARG00000015010","ENSBTAG00000013063","ITGB1BP1","ITGB1BP1"
"ENSOARG00000001148","ENSBTAG00000013065","HFE","HFE"
"ENSOARG00000003489","ENSBTAG00000013068","GGPS1","GGPS1"
"ENSOARG00000020068","ENSBTAG00000013069","IQCB1","IQCB1"
"ENSOARG00000012693","ENSBTAG00000013071","GPR153","GPR153"
"ENSOARG00000002524","ENSBTAG00000013074","PPP1R15B","PPP1R15B"
"ENSOARG00000018763","ENSBTAG00000013096","UNC119","UNC119"
"ENSOARG00000000484","ENSBTAG00000013099","ALDOC","ALDOC"
"ENSOARG00000001001","ENSBTAG00000013100","SPAG5","SPAG5"
"ENSOARG00000012909","ENSBTAG00000013108","HK2","HK2"
"ENSOARG00000001632","ENSBTAG00000013109","STIM1","STIM1"
"ENSOARG00000001301","ENSBTAG00000013111","RRM1","RRM1"
"ENSOARG00000017178","ENSBTAG00000013120","ARMH3","ARMH3"
"ENSOARG00000008867","ENSBTAG00000013125","PLAUR","PLAUR"
"ENSOARG00000004923","ENSBTAG00000013126","EMG1","EMG1"
"ENSOARG00000004814","ENSBTAG00000013127","LPCAT3","LPCAT3"
"ENSOARG00000000757","ENSBTAG00000013142","MYNN","MYNN"
"ENSOARG00000001325","ENSBTAG00000013143","BAG4","BAG4"
"ENSOARG00000001359","ENSBTAG00000013145","DDHD2","DDHD2"
"ENSOARG00000020472","ENSBTAG00000013148","CLDN1","CLDN1"
"ENSOARG00000004838","ENSBTAG00000013152","NIPSNAP1","NIPSNAP1"
"ENSOARG00000008531","ENSBTAG00000013159","PHF11","PHF11"
"ENSOARG00000005742","ENSBTAG00000013177","APEX2","APEX2"
"ENSOARG00000009476","ENSBTAG00000013187","DLG5","DLG5"
"ENSOARG00000020416","ENSBTAG00000013204","ATP13A3","ATP13A3"
"ENSOARG00000020462","ENSBTAG00000013205","IL1RAP","IL1RAP"
"ENSOARG00000007666","ENSBTAG00000013208","SLC25A4","SLC25A4"
"ENSOARG00000009686","ENSBTAG00000013210","ADAMTS4","ADAMTS4"
"ENSOARG00000010803","ENSBTAG00000013225","NBN","NBN"
"ENSOARG00000001395","ENSBTAG00000013235","TINAGL1","TINAGL1"
"ENSOARG00000011074","ENSBTAG00000013236","MED1","MED1"
"ENSOARG00000011220","ENSBTAG00000013238","CDK12","CDK12"
"ENSOARG00000011812","ENSBTAG00000013244","HDAC6","HDAC6"
"ENSOARG00000017642","ENSBTAG00000013253","THAP4","THAP4"
"ENSOARG00000009656","ENSBTAG00000013259","POLR3A","POLR3A"
"ENSOARG00000005508","ENSBTAG00000013260","SPIN2","SPIN2"
"ENSOARG00000010428","ENSBTAG00000013277","CCDC22","CCDC22"
"ENSOARG00000010894","ENSBTAG00000013278","MAGIX","MAGIX"
"ENSOARG00000004241","ENSBTAG00000013287","SMO","SMO"
"ENSOARG00000009811","ENSBTAG00000013288","SUGP2","SUGP2"
"ENSOARG00000011500","ENSBTAG00000013290","DYSF","DYSF"
"ENSOARG00000006176","ENSBTAG00000013294","DYRK3","DYRK3"
"ENSOARG00000007935","ENSBTAG00000013298","PLA2G4A","PLA2G4A"
"ENSOARG00000013120","ENSBTAG00000013316","BRPF3","BRPF3"
"ENSOARG00000012450","ENSBTAG00000013343","FTL","FTL"
"ENSOARG00000003827","ENSBTAG00000013353","ZNF274","ZNF274"
"ENSOARG00000013337","ENSBTAG00000013357","PUM3","PUM3"
"ENSOARG00000020179","ENSBTAG00000013367","PPT1","PPT1"
"ENSOARG00000002062","ENSBTAG00000013380","CEP192","CEP192"
"ENSOARG00000006701","ENSBTAG00000013392","PLD2","PLD2"
"ENSOARG00000019687","ENSBTAG00000013401","ARHGEF40","ARHGEF40"
"ENSOARG00000008848","ENSBTAG00000013405","FAM92A","FAM92A"
"ENSOARG00000014916","ENSBTAG00000013406","CSRP2","CSRP2"
"ENSOARG00000000605","ENSBTAG00000013407","PLXNB1","PLXNB1"
"ENSOARG00000005700","ENSBTAG00000013410","MARK3","MARK3"
"ENSOARG00000003591","ENSBTAG00000013412","NFAT5","NFAT5"
"ENSOARG00000016920","ENSBTAG00000013414","BLVRA","BLVRA"
"ENSOARG00000015947","ENSBTAG00000013423","GLRX5","GLRX5"
"ENSOARG00000021006","ENSBTAG00000013425","COPS2","COPS2"
"ENSOARG00000002578","ENSBTAG00000013454","TAB2","TAB2"
"ENSOARG00000010266","ENSBTAG00000013455","SPOPL","SPOPL"
"ENSOARG00000018612","ENSBTAG00000013465","NXPE3","NXPE3"
"ENSOARG00000004978","ENSBTAG00000013475","TRAF3","TRAF3"
"ENSOARG00000020267","ENSBTAG00000013477","GCHFR","GCHFR"
"ENSOARG00000016561","ENSBTAG00000013479","SLC9A3R2","SLC9A3R2"
"ENSOARG00000020273","ENSBTAG00000013480","DNAJC17","DNAJC17"
"ENSOARG00000013426","ENSBTAG00000013483","TAF1A","TAF1A"
"ENSOARG00000020284","ENSBTAG00000013485","ZFYVE19","ZFYVE19"
"ENSOARG00000019716","ENSBTAG00000013489","CYP27A1","CYP27A1"
"ENSOARG00000011724","ENSBTAG00000013510","TOR2A","TOR2A"
"ENSOARG00000005091","ENSBTAG00000013535","DFFA","DFFA"
"ENSOARG00000004932","ENSBTAG00000013538","PEX14","PEX14"
"ENSOARG00000008475","ENSBTAG00000013548","GABRE","GABRE"
"ENSOARG00000009325","ENSBTAG00000013556","UNC13D","UNC13D"
"ENSOARG00000010940","ENSBTAG00000013562","SKP2","SKP2"
"ENSOARG00000009503","ENSBTAG00000013563","TSG101","TSG101"
"ENSOARG00000005456","ENSBTAG00000013573","BIRC5","BIRC5"
"ENSOARG00000010784","ENSBTAG00000013577","SLC1A5","SLC1A5"
"ENSOARG00000003883","ENSBTAG00000013592","ZNF248","ZNF248"
"ENSOARG00000005284","ENSBTAG00000013606","FKBP2","FKBP2"
"ENSOARG00000014865","ENSBTAG00000013611","SCLT1","SCLT1"
"ENSOARG00000018723","ENSBTAG00000013614","TMEM38A","TMEM38A"
"ENSOARG00000003206","ENSBTAG00000013615","CHORDC1","CHORDC1"
"ENSOARG00000013683","ENSBTAG00000013624","LMNB2","LMNB2"
"ENSOARG00000006386","ENSBTAG00000013628","PHYKPL","PHYKPL"
"ENSOARG00000018757","ENSBTAG00000013631","GLUL","GLUL"
"ENSOARG00000003029","ENSBTAG00000013641","BAG3","BAG3"
"ENSOARG00000007928","ENSBTAG00000013645","RFFL","RFFL"
"ENSOARG00000017888","ENSBTAG00000013664","FILIP1L","FILIP1L"
"ENSOARG00000006452","ENSBTAG00000013670","SLC46A2","SLC46A2"
"ENSOARG00000006820","ENSBTAG00000013676","DYNC2LI1","DYNC2LI1"
"ENSOARG00000010973","ENSBTAG00000013678","OSGIN2","OSGIN2"
"ENSOARG00000001545","ENSBTAG00000013688","PGF","PGF"
"ENSOARG00000009981","ENSBTAG00000013699","TBC1D1","TBC1D1"
"ENSOARG00000009625","ENSBTAG00000013702","ZNF296","ZNF296"
"ENSOARG00000009498","ENSBTAG00000013705","NFKBIE","NFKBIE"
"ENSOARG00000009761","ENSBTAG00000013722","AARS2","AARS2"
"ENSOARG00000018450","ENSBTAG00000013724","ATG4A","ATG4A"
"ENSOARG00000020220","ENSBTAG00000013727","UMPS","UMPS"
"ENSOARG00000003496","ENSBTAG00000013735","TBCE","TBCE"
"ENSOARG00000009911","ENSBTAG00000013736","PROM1","PROM1"
"ENSOARG00000007752","ENSBTAG00000013740","SP2","SP2"
"ENSOARG00000007513","ENSBTAG00000013744","SYNPO","SYNPO"
"ENSOARG00000003053","ENSBTAG00000013757","CTCF","CTCF"
"ENSOARG00000005764","ENSBTAG00000013761","STMN1","STMN1"
"ENSOARG00000019175","ENSBTAG00000013769","NECTIN3","NECTIN3"
"ENSOARG00000020193","ENSBTAG00000013774","CCDC9B","CCDC9B"
"ENSOARG00000001260","ENSBTAG00000013784","CSNK2A2","CSNK2A2"
"ENSOARG00000020889","ENSBTAG00000013793","NEDD4","NEDD4"
"ENSOARG00000011306","ENSBTAG00000013801","PBX1","PBX1"
"ENSOARG00000007735","ENSBTAG00000013813","KLHL17","KLHL17"
"ENSOARG00000017747","ENSBTAG00000013821","RIOK1","RIOK1"
"ENSOARG00000020140","ENSBTAG00000013832","TRIT1","TRIT1"
"ENSOARG00000017242","ENSBTAG00000013843","ACVRL1","ACVRL1"
"ENSOARG00000014293","ENSBTAG00000013851","BCL10","BCL10"
"ENSOARG00000015444","ENSBTAG00000013856","SSBP2","SSBP2"
"ENSOARG00000005554","ENSBTAG00000013858","C16orf72","C16orf72"
"ENSOARG00000003963","ENSBTAG00000013863","DUSP1","DUSP1"
"ENSOARG00000019157","ENSBTAG00000013869","SH3BP4","SH3BP4"
"ENSOARG00000000474","ENSBTAG00000013881","GJA4","GJA4"
"ENSOARG00000017191","ENSBTAG00000013884","SIPA1","SIPA1"
"ENSOARG00000001688","ENSBTAG00000013889","TMEM141","TMEM141"
"ENSOARG00000017426","ENSBTAG00000013895","RELA","RELA"
"ENSOARG00000015320","ENSBTAG00000013899","LARP4B","LARP4B"
"ENSOARG00000000944","ENSBTAG00000013900","TRIM21","TRIM21"
"ENSOARG00000005028","ENSBTAG00000013901","PTDSS1","PTDSS1"
"ENSOARG00000009745","ENSBTAG00000013905","SMC3","SMC3"
"ENSOARG00000019381","ENSBTAG00000013909","BOC","BOC"
"ENSOARG00000016814","ENSBTAG00000013912","TXNRD1","TXNRD1"
"ENSOARG00000013813","ENSBTAG00000013925","KIN","KIN"
"ENSOARG00000019412","ENSBTAG00000013937","SPICE1","SPICE1"
"ENSOARG00000004022","ENSBTAG00000013955","TRAPPC9","TRAPPC9"
"ENSOARG00000012354","ENSBTAG00000013960","PSAT1","PSAT1"
"ENSOARG00000008464","ENSBTAG00000013961","MYSM1","MYSM1"
"ENSOARG00000016148","ENSBTAG00000013971","PI4KA","PI4KA"
"ENSOARG00000018732","ENSBTAG00000013982","UACA","UACA"
"ENSOARG00000001651","ENSBTAG00000013983","ZC2HC1C","ZC2HC1C"
"ENSOARG00000014948","ENSBTAG00000013996","SH3BP2","SH3BP2"
"ENSOARG00000015133","ENSBTAG00000014002","CEP95","CEP95"
"ENSOARG00000016460","ENSBTAG00000014006","TOR3A","TOR3A"
"ENSOARG00000004826","ENSBTAG00000014023","SIRT1","SIRT1"
"ENSOARG00000012109","ENSBTAG00000014024","POMP","POMP"
"ENSOARG00000015988","ENSBTAG00000014030","FGD6","FGD6"
"ENSOARG00000010674","ENSBTAG00000014032","EIF3H","EIF3H"
"ENSOARG00000010267","ENSBTAG00000014058","LDB2","LDB2"
"ENSOARG00000003501","ENSBTAG00000014069","PDK4","PDK4"
"ENSOARG00000019355","ENSBTAG00000014079","GIGYF2","GIGYF2"
"ENSOARG00000011418","ENSBTAG00000014083","AMIGO1","AMIGO1"
"ENSOARG00000002726","ENSBTAG00000014089","PPCDC","PPCDC"
"ENSOARG00000013883","ENSBTAG00000014090","ARID5A","ARID5A"
"ENSOARG00000012014","ENSBTAG00000014093","IDH2","IDH2"
"ENSOARG00000007682","ENSBTAG00000014095","HAUS7","HAUS7"
"ENSOARG00000015510","ENSBTAG00000014101","TSR3","TSR3"
"ENSOARG00000019534","ENSBTAG00000014106","IPO8","IPO8"
"ENSOARG00000009241","ENSBTAG00000014113","CCL8","CCL8"
"ENSOARG00000010972","ENSBTAG00000014117","CCDC9","CCDC9"
"ENSOARG00000004147","ENSBTAG00000014123","ZNF507","ZNF507"
"ENSOARG00000014289","ENSBTAG00000014124","MLLT3","MLLT3"
"ENSOARG00000007592","ENSBTAG00000014127","PTGS2","PTGS2"
"ENSOARG00000018144","ENSBTAG00000014132","SNED1","SNED1"
"ENSOARG00000012185","ENSBTAG00000014151","RCSD1","RCSD1"
"ENSOARG00000011069","ENSBTAG00000014153","PKNOX1","PKNOX1"
"ENSOARG00000011259","ENSBTAG00000014158","CCNT2","CCNT2"
"ENSOARG00000018909","ENSBTAG00000014161","ARMC10","ARMC10"
"ENSOARG00000003290","ENSBTAG00000014167","RNF121","RNF121"
"ENSOARG00000011359","ENSBTAG00000014170","MAP7D3","MAP7D3"
"ENSOARG00000020610","ENSBTAG00000014175","STRAP","STRAP"
"ENSOARG00000008282","ENSBTAG00000014186","NCOA5","NCOA5"
"ENSOARG00000004292","ENSBTAG00000014207","ADAMTS10","ADAMTS10"
"ENSOARG00000015563","ENSBTAG00000014215","CCDC86","CCDC86"
"ENSOARG00000012215","ENSBTAG00000014221","CPLANE2","CPLANE2"
"ENSOARG00000000420","ENSBTAG00000014227","NDFIP2","NDFIP2"
"ENSOARG00000011464","ENSBTAG00000014229","SYT17","SYT17"
"ENSOARG00000014500","ENSBTAG00000014233","CCT8","CCT8"
"ENSOARG00000013489","ENSBTAG00000014238","ATP6V1E1","ATP6V1E1"
"ENSOARG00000005750","ENSBTAG00000014246","CENPH","CENPH"
"ENSOARG00000007314","ENSBTAG00000014248","MIER3","MIER3"
"ENSOARG00000010842","ENSBTAG00000014250","ZC3HAV1L","ZC3HAV1L"
"ENSOARG00000010864","ENSBTAG00000014252","SPTLC3","SPTLC3"
"ENSOARG00000012085","ENSBTAG00000014261","TARS","TARS"
"ENSOARG00000008855","ENSBTAG00000014262","BZW2","BZW2"
"ENSOARG00000006382","ENSBTAG00000014270","UNC5B","UNC5B"
"ENSOARG00000012068","ENSBTAG00000014272","MMUT","MMUT"
"ENSOARG00000019733","ENSBTAG00000014297","MOV10","MOV10"
"ENSOARG00000004981","ENSBTAG00000014316","HNRNPH3","HNRNPH3"
"ENSOARG00000003192","ENSBTAG00000014318","SLC33A1","SLC33A1"
"ENSOARG00000000329","ENSBTAG00000014320","SRFBP1","SRFBP1"
"ENSOARG00000018889","ENSBTAG00000014324","ANTXR2","ANTXR2"
"ENSOARG00000019813","ENSBTAG00000014325","C1orf109","C1orf109"
"ENSOARG00000019830","ENSBTAG00000014326","CDCA8","CDCA8"
"ENSOARG00000004256","ENSBTAG00000014331","UBL4A","UBL4A"
"ENSOARG00000011870","ENSBTAG00000014339","PUS3","PUS3"
"ENSOARG00000009053","ENSBTAG00000014349","RNF126","RNF126"
"ENSOARG00000020101","ENSBTAG00000014351","EIF2AK4","EIF2AK4"
"ENSOARG00000007061","ENSBTAG00000014354","FXYD6","FXYD6"
"ENSOARG00000003758","ENSBTAG00000014371","CHPF2","CHPF2"
"ENSOARG00000016247","ENSBTAG00000014373","CETN3","CETN3"
"ENSOARG00000009262","ENSBTAG00000014374","CARD6","CARD6"
"ENSOARG00000014141","ENSBTAG00000014376","ANKRD13A","ANKRD13A"
"ENSOARG00000017855","ENSBTAG00000014377","CHD3","CHD3"
"ENSOARG00000002774","ENSBTAG00000014380","MCM2","MCM2"
"ENSOARG00000000261","ENSBTAG00000014388","EIF3I","EIF3I"
"ENSOARG00000000244","ENSBTAG00000014390","MTMR9","MTMR9"
"ENSOARG00000004102","ENSBTAG00000014393","CLK2","CLK2"
"ENSOARG00000017131","ENSBTAG00000014396","KLF10","KLF10"
"ENSOARG00000016893","ENSBTAG00000014399","QSER1","QSER1"
"ENSOARG00000013729","ENSBTAG00000014406","LATS2","LATS2"
"ENSOARG00000018495","ENSBTAG00000014407","INO80D","INO80D"
"ENSOARG00000010816","ENSBTAG00000014417","CASTOR2","CASTOR2"
"ENSOARG00000000355","ENSBTAG00000014420","AGER","AGER"
"ENSOARG00000010321","ENSBTAG00000014434","CCHCR1","CCHCR1"
"ENSOARG00000010190","ENSBTAG00000014435","TCF19","TCF19"
"ENSOARG00000014378","ENSBTAG00000014442","MTG2","MTG2"
"ENSOARG00000017343","ENSBTAG00000014453","PLK1","PLK1"
"ENSOARG00000013260","ENSBTAG00000014454","PRR12","PRR12"
"ENSOARG00000014474","ENSBTAG00000014458","MROH1","MROH1"
"ENSOARG00000008228","ENSBTAG00000014461","ANAPC13","ANAPC13"
"ENSOARG00000015262","ENSBTAG00000014465","SERPINE1","SERPINE1"
"ENSOARG00000015233","ENSBTAG00000014468","AP1S1","AP1S1"
"ENSOARG00000000187","ENSBTAG00000014474","API5","API5"
"ENSOARG00000009801","ENSBTAG00000014476","ADAL","ADAL"
"ENSOARG00000009985","ENSBTAG00000014479","TUBGCP4","TUBGCP4"
"ENSOARG00000008551","ENSBTAG00000014492","NFKBIL1","NFKBIL1"
"ENSOARG00000021064","ENSBTAG00000014501","FERMT2","FERMT2"
